Date_Time,Wind_speed,Wind_speed_qual,Wind_direction_from,Wind_dir_qual,Water_temp_F,Water_temp_qual,Salinity_ppt,Sal_qual,Wave_ht_ft,Wave_qual
4/12/16 0:08,8.25,good,193,not evaluated,63.14,good,34.09,good,,
4/12/16 0:09,,,,,,,,,2.26,good
4/12/16 0:39,,,,,,,,,2.2,good
4/12/16 1:08,7.93,good,196,not evaluated,63.04,good,34.07,good,,
4/12/16 1:09,,,,,,,,,2.1,good
4/12/16 1:39,,,,,,,,,2.03,good
4/12/16 2:08,9.25,good,210,not evaluated,62.96,good,34,good,,
4/12/16 2:09,,,,,,,,,2.1,good
4/12/16 2:39,,,,,,,,,1.97,good
4/12/16 3:08,6.69,good,191,not evaluated,62.8,good,33.93,good,,
4/12/16 3:09,,,,,,,,,2.13,good
4/12/16 3:39,,,,,,,,,2,good
4/12/16 4:08,5.77,good,203,not evaluated,62.7,good,33.58,good,,
4/12/16 4:09,,,,,,,,,2.17,good
4/12/16 4:39,,,,,,,,,2.13,good
4/12/16 5:09,,,,,,,,,2.3,good
4/12/16 5:39,,,,,,,,,2.26,good
4/12/16 6:08,9.27,good,208,not evaluated,62.69,good,33.65,good,,
4/12/16 6:09,,,,,,,,,2.23,good
4/12/16 6:39,,,,,,,,,2.33,good
4/12/16 7:08,5.54,good,228,not evaluated,62.67,good,33.64,good,,
4/12/16 7:09,,,,,,,,,2.46,good
4/12/16 7:39,,,,,,,,,2.36,good
4/12/16 8:08,5.13,good,222,not evaluated,62.65,good,33.44,good,,
4/12/16 8:09,,,,,,,,,2.56,good
4/12/16 8:39,,,,,,,,,2.62,good
4/12/16 9:08,2.75,good,258,not evaluated,62.62,good,33.53,good,,
4/12/16 9:09,,,,,,,,,2.56,good
4/12/16 9:39,,,,,,,,,2.82,good
4/12/16 10:08,4.28,good,279,not evaluated,62.59,good,33.4,good,,
4/12/16 10:09,,,,,,,,,2.92,good
4/12/16 10:39,,,,,,,,,3.08,good
4/12/16 11:08,1.58,good,333,not evaluated,62.58,good,33.25,good,,
4/12/16 11:09,,,,,,,,,2.82,good
4/12/16 11:39,,,,,,,,,2.82,good
4/12/16 12:08,1.76,good,25,not evaluated,62.57,good,33.17,good,,
4/12/16 12:09,,,,,,,,,2.79,good
4/12/16 12:39,,,,,,,,,2.76,good
4/12/16 13:08,1.04,good,174,not evaluated,62.54,good,33.09,good,,
4/12/16 13:09,,,,,,,,,2.72,good
4/12/16 13:39,,,,,,,,,2.49,good
4/12/16 14:08,6.67,good,191,not evaluated,62.48,good,33.11,good,,
4/12/16 14:09,,,,,,,,,2.46,good
4/12/16 14:39,,,,,,,,,2.46,good
4/12/16 15:08,6.82,good,166,not evaluated,62.68,good,33.05,good,,
4/12/16 15:09,,,,,,,,,2.4,good
4/12/16 15:39,,,,,,,,,2.23,good
4/12/16 16:08,5.28,good,192,not evaluated,62.67,good,33.08,good,,
4/12/16 16:09,,,,,,,,,2.13,good
4/12/16 16:39,,,,,,,,,2.2,good
4/12/16 17:08,2.54,good,235,not evaluated,62.71,good,33.09,good,,
4/12/16 17:09,,,,,,,,,2.07,good
4/12/16 17:39,,,,,,,,,2,good
4/12/16 18:08,2.14,good,249,not evaluated,62.81,good,33.06,good,,
4/12/16 18:09,,,,,,,,,2.07,good
4/12/16 18:39,,,,,,,,,1.84,good
4/12/16 19:08,2.32,good,320,not evaluated,62.71,good,33.13,good,,
4/12/16 19:09,,,,,,,,,1.94,good
4/12/16 19:39,,,,,,,,,1.9,good
4/12/16 20:08,4.57,good,283,not evaluated,62.82,good,33,good,,
4/12/16 20:09,,,,,,,,,1.87,good
4/12/16 20:39,,,,,,,,,1.8,good
4/12/16 21:08,2.57,good,303,not evaluated,62.79,good,33.03,good,,
4/12/16 21:09,,,,,,,,,1.74,good
4/12/16 21:39,,,,,,,,,1.74,good
4/12/16 22:08,2.24,good,277,not evaluated,62.81,good,32.99,good,,
4/12/16 22:09,,,,,,,,,1.74,good
4/12/16 22:39,,,,,,,,,1.67,good
4/12/16 23:08,0.63,good,296,not evaluated,62.84,good,33.01,good,,
4/12/16 23:09,,,,,,,,,1.74,good
4/12/16 23:39,,,,,,,,,2,good
4/13/16 0:08,3.31,good,329,not evaluated,62.91,good,33.09,good,,
4/13/16 0:09,,,,,,,,,1.84,good
4/13/16 0:39,,,,,,,,,1.84,good
4/13/16 1:08,4.35,good,356,not evaluated,62.83,good,33.08,good,,
4/13/16 1:09,,,,,,,,,1.8,good
4/13/16 1:39,,,,,,,,,1.87,good
4/13/16 2:08,10.45,good,37,not evaluated,62.81,good,33.07,good,,
4/13/16 2:09,,,,,,,,,2,good
4/13/16 2:39,,,,,,,,,2,good
4/13/16 3:08,22.48,good,52,not evaluated,62.84,good,33.29,good,,
4/13/16 3:09,,,,,,,,,2.72,good
4/13/16 3:39,,,,,,,,,3.51,good
4/13/16 4:08,23.28,good,51,not evaluated,62.66,good,33.6,good,,
4/13/16 4:09,,,,,,,,,3.94,good
4/13/16 4:39,,,,,,,,,4.4,good
4/13/16 5:08,22.02,good,47,not evaluated,62.67,good,33.83,good,,
4/13/16 5:09,,,,,,,,,4.95,good
4/13/16 5:39,,,,,,,,,5.45,good
4/13/16 6:08,21.29,good,41,not evaluated,62.64,good,33.97,good,,
4/13/16 6:09,,,,,,,,,5.61,good
4/13/16 6:39,,,,,,,,,5.45,good
4/13/16 7:08,21.8,good,40,not evaluated,62.63,good,34.14,good,,
4/13/16 7:09,,,,,,,,,5.51,good
4/13/16 7:39,,,,,,,,,5.61,good
4/13/16 8:08,20.64,good,39,not evaluated,62.67,good,34.24,good,,
4/13/16 8:09,,,,,,,,,5.28,good
4/13/16 8:39,,,,,,,,,5.38,good
4/13/16 9:08,21.17,good,46,not evaluated,62.69,good,34.3,good,,
4/13/16 9:09,,,,,,,,,5.48,good
4/13/16 9:39,,,,,,,,,5.48,good
4/13/16 10:08,18.91,good,47,not evaluated,62.74,good,34.34,good,,
4/13/16 10:09,,,,,,,,,5.35,good
