Name,Date,Site,Season of Scrapes,Sample Date,Quad,Aux5,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments
A_C_01-10_1.0_2017-01-10.JPG,2017-01-10,A,C,01-10-17,1,,30,,,,,,,,,,
A_C_01-10_11.6_2017-01-10.JPG,2017-01-10,A,C,01-10-17,11.6,,30,,,,,,,,,,
A_C_01-10_3.6_2017-01-10.JPG,2017-01-10,A,C,01-10-17,3.6,,30,,,,,,,,,,
A_C_01-10_6.3_2017-01-10.JPG,2017-01-10,A,C,01-10-17,6.3,,30,,,,,,,,,,
A_C_01-10_9.0_2017-01-10.JPG,2017-01-10,A,C,01-10-17,9,,30,,,,,,,,,,
A_C_02-10_1.0_2017-02-10.JPG,2017-02-10,A,C,02-10-17,1,,30,,,,,,,,,,
A_C_02-10_11.6_2017-02-10.JPG,2017-02-10,A,C,02-10-17,11.6,,30,,,,,,,,,,
A_C_02-10_3.6_2017-02-10.JPG,2017-02-10,A,C,02-10-17,3.6,,30,,,,,,,,,,
A_C_02-10_6.3_2017-02-10.JPG,2017-02-10,A,C,02-10-17,6.3,,30,,,,,,,,,,
A_C_02-10_9.0_2017-02-10.JPG,2017-02-10,A,C,02-10-17,9,,30,,,,,,,,,,
A_C_03-17_1.0_2017-03-17.JPG,2017-03-17,A,C,03-17-17,1,,30,,,,,,,,,,
A_C_03-17_11.6_2017-03-17.JPG,2017-03-17,A,C,03-17-17,11.6,,30,,,,,,,,,,
A_C_03-17_3.6_2017-03-17.JPG,2017-03-17,A,C,03-17-17,3.6,,30,,,,,,,,,,
A_C_03-17_6.3_2017-03-17.JPG,2017-03-17,A,C,03-17-17,6.3,,30,,,,,,,,,,
A_C_03-17_9.0_2017-03-17.JPG,2017-03-17,A,C,03-17-17,9,,30,,,,,,,,,,
A_C_04-05_1.0_2017-04-05.JPG,2017-04-05,A,C,04-05-17,1,,30,,,,,,,,,,
A_C_04-05_11.6_2017-04-05.JPG,2017-04-05,A,C,04-05-17,11.6,,30,,,,,,,,,,
A_C_04-05_3.6_2017-04-05.JPG,2017-04-05,A,C,04-05-17,3.6,,30,,,,,,,,,,
A_C_04-05_6.3_2017-04-05.JPG,2017-04-05,A,C,04-05-17,6.3,,30,,,,,,,,,,
A_C_04-05_9.0_2017-04-05.JPG,2017-04-05,A,C,04-05-17,9,,30,,,,,,,,,,
A_C_04-18_1.0_2017-04-18.JPG,2017-04-18,A,C,04-18-17,1,,30,,,,,,,,,,
A_C_04-18_11.6_2017-04-18.JPG,2017-04-18,A,C,04-18-17,11.6,,30,,,,,,,,,,
A_C_04-18_3.6_2017-04-18.JPG,2017-04-18,A,C,04-18-17,3.6,,30,,,,,,,,,,
A_C_04-18_6.3_2017-04-18.JPG,2017-04-18,A,C,04-18-17,6.3,,30,,,,,,,,,,
A_C_04-18_9.0_2017-04-18.JPG,2017-04-18,A,C,04-18-17,9,,30,,,,,,,,,,
A_C_05-10_1.0_2017-05-10.JPG,2017-05-10,A,C,05-10-17,1,,30,,,,,,,,,,
A_C_05-10_11.6_2017-05-10.JPG,2017-05-10,A,C,05-10-17,11.6,,30,,,,,,,,,,
A_C_05-10_3.6_2017-05-10.JPG,2017-05-10,A,C,05-10-17,3.6,,30,,,,,,,,,,
